ect_x,tech,reporter,year,ect_m
-10.6711148528225,MED,Spain,2013,-6.26973283790745
-10.6337175502818,MED,Spain,2014,-6.2475540532429
-10.6197713418679,MED,Spain,2015,-6.20562614663515
-10.6197592042238,HIGH,Italy,2011,6.80471992070002
-10.6122369718231,MED,Spain,2016,-6.22093425367288
-10.6111847404246,HIGH,Italy,2019,6.9267165665313
-10.6054002549453,HIGH,Italy,2017,6.83134876370684
-10.5997389532268,HIGH,Italy,2018,6.89204215086263
-10.5993717883726,LOW,Greece,2004,-2.5456161493415
-10.5974625786845,HIGH,Italy,2012,6.8110023739174
-10.5974114574699,LOW,Greece,2000,-2.56101649522749
-10.5939220145816,MED,Spain,2019,-6.23151298402598
-10.5919079755102,MED,Spain,2017,-6.24629292121145
-10.5884968742281,HIGH,Italy,2015,6.72824914044948
-10.5879748102467,HIGH,Italy,2016,6.79161529306817
-10.5860481718689,HIGH,Italy,1993,6.26253774281149
-10.5818214947633,MED,Spain,2018,-6.23109589896578
-10.5794801766804,HIGH,Italy,2014,6.69431313188558
-10.5763612705997,LOW,Greece,2003,-2.54734055032069
-10.5748087298881,HIGH,Italy,2013,6.72346186604267
